"Name","Archived","Description","Parent IDs","Nicknames","Date of birth","Species/breed","Sex","Castrated","Tag ID","Tag type","Tag location"
"C-14-87",,"2nd tag stub in L ear","N/A N/A",,"2015-08-16","BLACK ANGUS","F",,"C-14-87",,
"C-17-81",,,"N/A N/A",,"2017-06-15","BLACK ANGUS","M",,"C-17-81",,
"C-18-89",,"All white face","C-15-84 N/A","Madagascar","2018-08-03","HERFORD ANGUS CROSS","M",,"C-18-89",,
"C-18-94",,"Uniform black dots on white face","N/A C-16-94","Rorschach","2018-05-19","HERFORD ANGUS CROSS","M",,"C-18-94",,
"C-18-96",," ","C-11-11 C-16-94",,"2018-05-20","BLACK ANGUS","M",,"C-18-96",,
"C-18-97",,"All black","C-15-84 C-16-94",,"2018-05-05","HERFORD ANGUS CROSS","M",,"C-18-97",,
"C-18-98",,"All black","C-11-SPOOKY C-16-94",,"2018-05-02","HERFORD ANGUS CROSS","M",,"C-18-98",,
" C-17-17",,"Black, white spots on face","C-11-SPOOKY C-14-Bull",,"2017-04-28","HERFORD ANGUS CROSS","M",," C-17-17",,
"C-11-11",,"Black cow, white face  ","N/A N/A","Whiteface","2011-04-28","HERFORD ANGUS CROSS","F",,"C-11-11",,
"C-11-14",,"All black cow, quiet temperment","N/A N/A",14,"2011-04-01","BLACK ANGUS","F",,"C-11-14",,
"C-11-83",,"All black cow, looks grumpy, quiet temperment","N/A N/A",17,"2011-04-01","BLACK ANGUS","F",,"C-11-83",,
"C-11-SPOOKY",,"Black cow, white face with symmetrical black spots over eyes","N/A N/A","Spooky","2011-04-28","HERFORD ANGUS CROSS","F",,"C-11-SPOOKY",,
"C-12-65",,"Smaller all black cow","N/A N/A","Juanita","2012-04-01","BLACK ANGUS","F",,"C-12-65",,
"C-14-82",,"Black cow, white belly, nosy and sweet","N/A N/A",82,"2012-04-01","HERFORD ANGUS CROSS","F",,"C-14-82",,
"C-15-79",,"All black, fuzzy tuft of hair on head.","N/A C-12-Bull","Louise","2015-04-01","BLACK ANGUS","F",,"C-15-79",,
"C-15-84",,"Black with white markings on face","N/A C-12-Bull","Pearl","2015-04-01","HERFORD ANGUS CROSS","F",,"C-15-84",,
"C-17-77",,"Black","C-12-65 C-14-Bull",,"2017-06-05","BLACK ANGUS","M",,"C-17-77",,
"C-16-14",,"Black cow no tag","C-11-14 C-12-Bull",,"2016-05-12","BLACK ANGUS","F",,"C-16-14",,
"C-16-83",,"Brown & white face, black cow","C-11-SPOOKY C-12-Bull","Crazy Hair","2016-04-26","HERFORD ANGUS CROSS","F",,"C-16-83",,
"C-16-88",,"White face, black dots on eyes","C-11-Africa C-12-Bull",,"2016-05-11","HERFORD ANGUS CROSS","F",,"C-16-88",,
"C-20-0116",,,,,,"HERFORD ANGUS CROSS",,,,,
"C-18-91",,,,,,"BLACK ANGUS",,,,,
"C-11-Africa",,,,,,"HERFORD ANGUS CROSS",,,,,
