"Done","Date","Log name","Asset IDs","Asset names","Areas","Notes","Categories","Quantity measure","Quantity value","Quantity unit","Quantity label","Lot number"
,"2018-05-07",,,"Beets","SQ 7",,,,10,"Bunches",,
,"2018-05-08",,,"Asparagus","ASPARAGUS",,,,7.5,"Pounds",,
,"2018-06-07",,,"Bokchoy","CHUAU-5",,,,14,"Head",,
,"2018-06-07",,,"Chives","HERB",,,,5,"Bunches",,
,"2018-06-07",,,"Collards","GHANA-3",,,,19,"Bunches",,
,"2018-06-07",,,"Garlic: Green","JASMINE-5",,,,27,"Bunches",,
,"2018-06-07",,,"Lettuce: Green","GHANA-1","Lettuce in farmdata",,,27,"Head",,
,"2018-06-07",,,"Mint","HERB",,,,5,"Bunches",,
,"2018-06-07",,,"Onions: Spring","CHUAU-1",,,,24,"Bunches",,
,"2018-06-07",,,"Oregano","HERB",,,,10,"Bunches",,
,"2018-06-07",,,"Thyme","HERB",,,,8,"Bunches",,
,"2018-06-11",,,"Chives","HERB",,,,5,"Bunches",,
,"2018-06-11",,,"Mint","HERB",,,,10,"Bunches",,
,"2018-06-11",,,"Onions: Spring","CHUAU-1",,,,300,"Bunches",,
,"2018-06-11",,,"Oregano","HERB",,,,10,"Bunches",,
,"2018-06-11",,,"Thyme","HERB",,,,10,"Bunches",,
