"Done","Date","Log name","Asset IDs","Asset names","Areas","Notes","Categories","Quantity measure","Quantity value","Quantity unit","Quantity label","Material","Purpose","Application method","Source/manufacturer","Lot number","Date purchased"
,"2018-07-05",,,"PYGANIC","S","Flea beetle","Spraying: Tractor",2.5,12,"Ounces","78%","PYGANIC","Cabbage",,,,
,"2018-07-05",,,"PYGANIC","SQ 10","Flea beetle","Spraying: Tractor",4,12,"Ounces","71%","PYGANIC","Broccoli",,,,
,"2018-07-05",,,"NUFILM P","S","Flea beetle","Spraying: Tractor",1.73,8,"Ounces","78%","NUFILM P","Cabbage",,,,
,"2018-07-05",,,"NUFILM P","SQ 10","Flea beetle","Spraying: Tractor",2.77,8,"Ounces","71%","NUFILM P","Broccoli",,,,
,"2018-07-05",,,"ORGANIC GEM 343","S","Flea beetle","Spraying: Tractor",0.96,4,"Quarts","78%","ORGANIC GEM 343","Cabbage",,,,
,"2018-07-05",,,"ORGANIC GEM 343","SQ 10","Flea beetle","Spraying: Tractor",1.54,4,"Quarts","71%","ORGANIC GEM 343","Broccoli",,,,
,"2018-07-05",,,"CITRIC ACID","S","Flea beetle","Spraying: Tractor",7.69,30,"Grams","78%","CITRIC ACID","Cabbage",,,,
,"2018-07-05",,,"CITRIC ACID","SQ 10","Flea beetle","Spraying: Tractor",12.31,30,"Grams","71%","CITRIC ACID","Broccoli",,,,
,"2018-07-05",,,"PYGANIC","SQ 8","Alium leafminer","Spraying: Tractor",0,10.75,"Ounces","33%","PYGANIC","Onions: Storage",,,,
,"2018-07-05",,,"NUFILM P","SQ 8","Alium leafminer","Spraying: Tractor",1.2,8,"Ounces","33%","NUFILM P","Onions: Storage",,,,
,"2018-07-05",,,"ORGANIC GEM 343","SQ 8","Alium leafminer","Spraying: Tractor",1,4,"Quarts","33%","ORGANIC GEM 343","Onions: Storage",,,,
,"2018-07-06",,,"ORGANIC GEM 343","V","Leaf hopper control","Spraying: Tractor",1.57,4,"Quarts","73%","ORGANIC GEM 343","Potatoes",,,,
,"2018-07-06",,,"ORGANIC GEM 343","R","Leaf hopper control","Spraying: Tractor",1.43,4,"Quarts","89%","ORGANIC GEM 343","Potatoes",,,,
,"2018-07-06",,,"NUFILM P","V","Leaf hopper control","Spraying: Tractor",2.62,8,"Ounces","73%","NUFILM P","Potatoes",,,,
,"2018-07-06",,,"NUFILM P","R","Leaf hopper control","Spraying: Tractor",2.38,8,"Ounces","89%","NUFILM P","Potatoes",,,,
,"2018-07-06",,,"PYGANIC","V","Leaf hopper control","Spraying: Tractor",3.82,10.75,"Ounces","73%","PYGANIC","Potatoes",,,,
,"2018-07-06",,,"PYGANIC","R","Leaf hopper control","Spraying: Tractor",3.48,10.75,"Ounces","89%","PYGANIC","Potatoes",,,,
,"2018-07-06",,,"CITRIC ACID","V","Leaf hopper control","Spraying: Tractor",10.48,30,"Grams","73%","CITRIC ACID","Potatoes",,,,
,"2018-07-06",,,"CITRIC ACID","R","Leaf hopper control","Spraying: Tractor",9.52,30,"Grams","89%","CITRIC ACID","Potatoes",,,,
,"2018-07-06",,,"REGALIA","SQ 6",,"Spraying: Tractor",0.69,2,"Quarts","67%","REGALIA","Tomatoes: Slicing",,,,
,"2018-07-06",,,"REGALIA","N",,"Spraying: Tractor",0.31,2,"Quarts","80%","REGALIA","Tomatoes: Slicing",,,,
,"2018-07-06",,,"BADGE X2","SQ 6",,"Spraying: Tractor",0.43,1.25,"Pounds","67%","BADGE X2","Tomatoes: Slicing",,,,
,"2018-07-06",,,"BADGE X2","N",,"Spraying: Tractor",0.2,1.25,"Pounds","80%","BADGE X2","Tomatoes: Slicing",,,,
,"2018-07-06",,,"ORGANIC GEM 343","SQ 6",,"Spraying: Tractor",1.37,4,"Quarts","67%","ORGANIC GEM 343","Tomatoes: Slicing",,,,
,"2018-07-06",,,"ORGANIC GEM 343","N",,"Spraying: Tractor",0.63,4,"Quarts","80%","ORGANIC GEM 343","Tomatoes: Slicing",,,,
,"2018-07-06",,,"NUFILM P","SQ 6",,"Spraying: Tractor",2.74,8,"Ounces","67%","NUFILM P","Tomatoes: Slicing",,,,
,"2018-07-06",,,"NUFILM P","N",,"Spraying: Tractor",1.26,8,"Ounces","80%","NUFILM P","Tomatoes: Slicing",,,,
,"2018-07-09",,,"PYGANIC","SQ 10","Flea beetles","Spraying: Tractor",3.5,10.75,"Ounces","64%","PYGANIC","Broccoli",,,,
,"2018-07-09",,,"ORGANIC GEM 343","SQ 10","Flea beetles","Spraying: Tractor",1.25,4,"Quarts","64%","ORGANIC GEM 343","Broccoli",,,,
,"2018-07-09",,,"CITRIC ACID","SQ 10","Flea beetles","Spraying: Tractor",20,60,"Grams","64%","CITRIC ACID","Broccoli",,,,
,"2018-07-09",,,"NUFILM P","SQ 10","Flea beetles","Spraying: Tractor",2.5,8,"Ounces","64%","NUFILM P","Broccoli",,,,
,"2018-07-16",,,"BADGE X2","N","Disease prevent","Spraying: Tractor",0.22,1.67,"Pounds","40%","BADGE X2","Tomatoes: Slicing",,,,
,"2018-07-16",,,"BADGE X2","SQ 6","Disease prevent","Spraying: Tractor",0.48,1.67,"Pounds","67%","BADGE X2","Tomatoes: Slicing",,,,
,"2018-07-16",,,"NUFILM P","N","Disease prevent","Spraying: Tractor",0.94,8,"Ounces","40%","NUFILM P","Tomatoes: Slicing",,,,
