"Done","Date","Log name","Asset IDs","Asset names","Areas","Notes","Categories","Quantity measure","Quantity value","Quantity unit","Quantity label"
,"2018-05-11",,,"Cabbage","S",,"Scouting: Insect",,10,"Count","ALLIUM LEAFMINER"
,"2018-06-02",,,"Asparagus","M","Defoliating ferns on brand new plants: ferns turning brown","Scouting: Insect",,5,"Count","ASPARAGUS BEETLE"
,"2018-06-02",,,"Cabbage","S",,"Scouting: Insect",,5,"Count","FLEA BEETLE"
,"2018-06-05",,,"Cabbage","S",,"Scouting: Insect",,10,"Count","FLEA BEETLE"
,"2018-06-05",,,"Potatoes","R",,"Scouting: Insect",,0.2,"Count","POTATO LEAFHOPPER"
,"2018-06-05",,,"Cabbage","S",,"Scouting: Insect",,15.2,"Count","FLEA BEETLE"
,"2018-06-05",,,"Potatoes","R",,"Scouting: Insect",,0,"Count","CO POTATO BEETLE"
,"2018-06-07",,,"Potatoes","R",,"Scouting: Insect",,0.6,"Count","POTATO LEAFHOPPER"
,"2018-06-07",,,"Cabbage","S",,"Scouting: Insect",,17.2,"Count","FLEA BEETLE"
,"2018-06-07",,,"Potatoes","V","It seems like there is less damage to the leaves on these Potatoeses in field V versus the ones in field R but I had a much easier time seeing the leafhoppers in this field (V) but seems like the issue might be worse in R based on leaf damage ","Scouting: Insect",,0.8,"Count","POTATO LEAFHOPPER"
,"2018-06-12",,,"Potatoes","R","1 adult Colorado Potatoes beetle","Scouting: Insect",,5.2,"Count","POTATO LEAFHOPPER"
,"2018-06-12",,,"Cabbage","S",,"Scouting: Insect",,16.9,"Count","FLEA BEETLE"
,"2018-06-12",,,"Potatoes","V",,"Scouting: Insect",,2.8,"Count","POTATO LEAFHOPPER"
,"2018-06-12",,,"Asparagus","M","A lot of the plants are dried up/dead","Scouting: Insect",,4.9,"Count","ASPARAGUS BEETLE"
,"2018-06-12",,,"Asparagus","ASPARAGUS",,"Scouting: Insect",,0.1,"Count","ASPARAGUS BEETLE"
,"2018-07-05",,,"Broccoli","SQ 10",,"Scouting: Insect",,5,"Count","FLEA BEETLE"
,"2018-07-10",,,"Cabbage","S","I couldn’t find any worms but found eggs on 2 plants and damage on all (10) the plants ","Scouting: Insect",,0,"Count","CABBAGE WORMS"
,"2018-07-10",,,"Potatoes","V","No Potatoes beetles (10 plants). Leaves looking burnt ","Scouting: Insect",,0,"Count","CO POTATO BEETLE"
,"2018-07-10",,,"Potatoes","V","No leafhoppers (10 plants). Burn on leaves. Also small black bugs - I don’t think they are flea beetles - on most plants: probably around 15+ Insects per plant","Scouting: Insect",,0,"Count","POTATO LEAFHOPPER"
,"2018-07-10",,,"Cucumbers, SQ uash: Summer, Zucchini","SQ 9","Not many adult beetles on each plant (10) but at least one cluster of eggs on every leaf of every plant so population will grow soon","Scouting: Insect",,3,"Count","CUCUMBER BEETLE"
