"Done","Date","Log name","Asset IDs","Asset names","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Seller"
,"2018-01-20",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,8,"Bag: 80#",30,240,"JASON FRITZ"
,"2018-02-25",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,2,"Bag: 50#",16.15,32.3,"TRACTOR SUPPLY"
,"2018-03-08",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,6,"Bag: 80#",30,180,"JASON FRITZ"
,"2018-04-06",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,9,"Bag: 80#",30,270,"JASON FRITZ"
,"2018-05-31",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,6,"Bag: 80#",30,180,"JASON FRITZ"
,"2018-05-31",,,"CHICKEN FEED: BROILER MIX",,,"Feed, Laying Hens",,,1,"Bag: 80#",33,33,"JASON FRITZ"
,"2018-06-15",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,4,"Bag: 80#",30,120,"JASON FRITZ"
,"2018-07-12",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,6,"Bag: 80#",30,180,"JASON FRITZ"
,"2018-08-09",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,6,"Bag: 80#",30,180,"JASON FRITZ"
,"2018-08-09",,,"CHICKEN FEED: BROILER MIX",,,"Feed, Laying Hens",,,1,"Bag: 80#",33,33,"JASON FRITZ"
,"2018-08-11",,,"CHICKEN FEED: BROILER MIX",,,"Feed, Laying Hens",,,1,"Bag: 80#",33,33,"JASON FRITZ"
,"2018-08-11",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,6,"Bag: 80#",30,180,"JASON FRITZ"
,"2018-09-24",,,"CHICKEN FEED: BROILER MIX",,,"Feed, Laying Hens",,,5,"Bag: 80#",33,165,"JASON FRITZ"
,"2018-09-24",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,2,"Bag: 80#",30,60,"JASON FRITZ"
,"2018-10-19",,,"CHICKEN FEED: BROILER MIX",,,"Feed, Laying Hens",,,4,"Bag: 80#",33,132,"JASON FRITZ"
,"2018-10-19",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,4,"Bag: 80#",30,120,"JASON FRITZ"
,"2018-11-19",,,"CHICKEN FEED: BROILER MIX",,,"Feed, Laying Hens",,,7,"Bag: 80#",33,231,"JASON FRITZ"
,"2018-11-19",,,"CHICKEN FEED: LAYER MIX",,,"Feed, Laying Hens",,,3,"Bag: 80#",30,90,"JASON FRITZ"
