"Done","Date","Log name","Asset IDs","Asset names","Archive assets","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Seller"
"no","2018-01-26",,,"Arugula",,,"Arugula","Seed","2891",".25 lb","1","Ounces","12.15",12.15,"source"
"yes","2018-01-26",,,"Beans",,,"E-Z Pick","Seed","242OG","Msd","5","Pounds","6.55","32.7500009536743",
"yes","2018-01-26",,,"Beans",,,"Jade Bush","Seed","16G","1Msds","5","Pounds","6.55","32.7500009536743",
"no","2018-01-26",,,"Beans",,,"Rodcor","Seed","26G","1Msds","5","Pounds","7.12","35.5999994277954",
"no","2018-01-26",,,"Beans",,,"Royal Burgundy","Seed","2944G","1Msd","1","Pounds","7.4","7.40000009536743",
"yes","2018-01-26",,,"Beets",,,"Chioggia","Seed","25G","1Msd","5","Pounds","3.12","15.5999994277954",
"no","2018-01-26",,,"Beets",,,"Detroit Dark Red","Seed","2280","1 lb","1","Pounds","20","20",
"no","2018-01-26",,,"Beets",,,"Early Wonder","Seed","2290","1/4 lb","1","Pounds","6.95","6.94999980926514",
"no","2018-01-26",,,"Beets",,,"Rhonda","Seed","2289","5Msd","1","Pounds","30.25","30.25",
"yes","2018-01-26",,,"Bokchoy",,,"Mei Qing","Seed","509","1 Msd","1","Ounces","6.8","6.80000019073486",
"no","2018-01-26",,,"Broccoli",,,"Arcadia","Seed","139","5Msds","5","Pounds","6.74","33.6999988555908",
"yes","2018-01-26",,,"Broccoli",,,"Belstar","Seed","2815G","1 Msd","1","Pounds","27.75","27.75",
"yes","2018-01-26",,,"Broccoli",,,"Imperial","Seed","3041","5 Msd","5","Pounds","6.79","33.9499998092651",
"yes","2018-01-26",,,"Brussel Sprouts",,,"Diablo","Seed","2421","500 sds","1","Ounces","16.1","16.1000003814697",
"yes","2018-01-26",,,"Cabbage",,,"Faro","Seed","21110G","500 sds","1","Ounces","17.9","17.8999996185303",
"no","2018-01-26",,,"Cabbage",,,"Impala","Seed","2359","500 sd","1","Ounces","18.75","18.75",
"no","2018-01-26",,,"Cabbage",,,"Kaitlin","Seed","286","500sd","1","Ounces","8.8","8.80000019073486",
"yes","2018-01-26",,,"Cabbage",,,"Storage #4","Seed","167","500 sd","1","Ounces","12.15","12.1499996185303",
"no","2018-01-26",,,"Carrots",,,"Bolero","Seed","216","100M","200","Pounds","0.72","144.000005722046",
"no","2018-01-26",,,"Carrots",,,"Hercules","Seed","2735","100Msds","100","Pounds","0.85","85.0000023841858",
"no","2018-01-26",,,"Carrots",,,"Naval","Seed","2342","25Msds","1","Pounds","35","35",
"no","2018-01-26",,,"Carrots",,,"Romance","Seed","3116","100Msds","100","Pounds","0.85","85.0000023841858",
"yes","2018-01-26",,,"Carrots",,,"Yaya","Seed","2681G","25Msd","25","Pounds","1.85","46.2500005960464",
"no","2018-01-26",,,"Cauliflower",,,"Bishop","Seed","3832","500 Sds","1","Ounces","12.75","12.75",
"yes","2018-01-26",,,"Cauliflower",,,"Denail","Seed","3014","1000sds","1","Ounces","23.85","23.8500003814697",
"no","2018-01-26",,,"Cauliflower",,,"Skywalker","Seed","2593G","1000 Sds","1","Ounces","51.65","51.6500015258789",
"yes","2018-02-01",,,"Celeriac",,,"Mars","Seed","660G","1Msd","1","Ounces","11.5","11.5",
"yes","2018-02-01",,,"Chard",,,"Improved Rainbow Blend","Seed","2350A",".25 OZ","1","Ounces","6.5","6.5",
"yes","2018-02-01",,,"Chard",,,"Magenta Sunset","Seed","2730","OZ","1","Ounces","6.5","6.5",
"no","2018-02-01",,,"Chard",,,"Oriole","Seed","3122G","OZ","1","Ounces","6.95","6.94999980926514",
"yes","2018-02-01",,,"Chinese Cabbage",,,"Emiko","Seed","2381A","500sDS","1","Ounces","10.25","10.25",
"no","2018-02-01",,,"Chinese Cabbage",,,"Minuet","Seed","2901","1Msds","1","Ounces","6.9","6.90000009536743",
"yes","2018-02-01",,,"Collards",,,"Champion","Seed","2552",".125OZ","1","Ounces","5","5",
"no","2018-02-01",,,"Collards",,,"Flash","Seed","2116","pkt","1","Ounces","4.25","4.25",
"no","2018-02-01",,,"Cucumbers",,,"Cobra","Seed","6396NT","1M","1","Ounces","21.13","21.1299991607666",
"yes","2018-02-01",,,"Cucumbers",,,"Corinto","Seed","2562G","100 SDS","1","Ounces","49.45","49.4500007629395",
"no","2018-02-01",,,"Cucumbers",,,"Dasher","Seed","8487NT","1Msds","1","Ounces","12.3","12.3000001907349",
"yes","2018-02-01",,,"Cucumbers",,,"General Lee","Seed","2417","500 Sds","1","Ounces","9.45","9.44999980926514",
"no","2018-02-01",,,"Cucumbers",,,"Sv4719cs","Seed","3885","500sds","1","Ounces","19.7","19.7000007629395",
"yes","2018-02-01",,,"Dandelion",,,"Clio","Seed","2634","1Msds","1","Grams","6.55","6.55000019073486",
"yes","2018-02-01",,,"Eggplants",,,"Black Beauty","Seed","2470A",".16OZ","1","Ounces","4","4",
"no","2018-02-01",,,"Eggplants",,,"Galine","Seed","2829","250","1","Ounces","9.05","9.05000019073486",
"no","2018-02-01",,,"Eggplants",,,"Michal","Seed","2468A","100 SDS","1","Ounces","19.55","19.5499992370605",
"no","2018-02-01",,,"Eggplants",,,"Nadia","Seed","2267","250","1","Ounces","6.8","6.80000019073486",
"no","2018-02-01",,,"Eggplants",,,"Orient Express","Seed","354","1PKT","1","Ounces","4.25","4.25",
"yes","2018-02-01",,,"Eggplants",,,"Traviata","Seed","2473A","100 sds","1","Ounces","19.55","19.5499992370605",
"yes","2018-02-01",,,"Endive",,,"Rhodos","Seed","339g","1Msds","1","Ounces","10.35","10.3500003814697",
"yes","2018-02-01",,,"Escarole",,,"Natache","Seed","2614","1Msd","1","Ounces","8.95","8.94999980926514",
"yes","2018-02-01",,,"Lettuce: Green",,,"Muir","Seed","3881G","1Msd","1","Ounces","8.45","8.44999980926514",
