"Done","Date","Log name","Asset IDs","Asset names","Archive assets","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Seller"
"yes","2018-01-26",,,"Bokchoy",,,"Mei Qing","Seed","509","1 Msd",1,"Ounces",6.8,6.8,"JOHNNY'S"
"no","2018-01-26",,,"Broccoli",,,"Arcadia","Seed","139","5Msds",5,"Pounds",6.74,33.7,"JOHNNY'S"
"yes","2018-01-26",,,"Broccoli",,,"Imperial","Seed","3041","5 Msd",5,"Pounds",6.79,33.95,"JOHNNY'S"
"yes","2018-01-26",,,"Brussel Sprouts",,,"Diablo","Seed","2421","500 sds",1,"Ounces",16.1,16.1,"JOHNNY'S"
"no","2018-01-26",,,"Cabbage",,,"Kaitlin","Seed","286","500sd",1,"Ounces",8.8,8.8,"JOHNNY'S"
"yes","2018-01-26",,,"Cabbage",,,"Storage #4","Seed","167","500 sd",1,"Ounces",12.15,12.15,"JOHNNY'S"
"no","2018-01-26",,,"Carrots",,,"Bolero","Seed","216","100M",200,"Pounds",0.72,144,"JOHNNY'S"
"no","2018-01-26",,,"Carrots",,,"Hercules","Seed","2735","100Msds",100,"Pounds",0.85,85,"JOHNNY'S"
"no","2018-01-26",,,"Carrots",,,"Romance","Seed","3116","100Msds",100,"Pounds",0.85,85,"JOHNNY'S"
"no","2018-01-26",,,"Cauliflower",,,"Bishop","Seed","3832","500 Sds",1,"Ounces",12.75,12.75,"JOHNNY'S"
"yes","2018-01-26",,,"Cauliflower",,,"Denail","Seed","3014","1000sds",1,"Ounces",23.85,23.85,"JOHNNY'S"
"yes","2018-02-01",,,"Chard",,,"Magenta Sunset","Seed","2730","OZ",1,"Ounces",6.5,6.5,"JOHNNY'S"
"no","2018-02-01",,,"Chinese Cabbage",,,"Minuet","Seed","2901","1Msds",1,"Ounces",6.9,6.9,"JOHNNY'S"
"no","2018-02-01",,,"Collards",,,"Flash","Seed","2116","pkt",1,"Ounces",4.25,4.25,"JOHNNY'S"
"no","2018-02-01",,,"Cucumbers",,,"Cobra","Seed","6396NT","1M",1,"Ounces",21.13,21.13,"SEEDWAY"
"no","2018-02-01",,,"Cucumbers",,,"Dasher","Seed","8487NT","1Msds",1,"Ounces",12.3,12.3,"SEEDWAY"
"yes","2018-02-01",,,"Cucumbers",,,"General Lee","Seed","2417","500 Sds",1,"Ounces",9.45,9.45,"JOHNNY'S"
"no","2018-02-01",,,"Cucumbers",,,"Sv4719cs","Seed","3885","500sds",1,"Ounces",19.7,19.7,"JOHNNY'S"
"yes","2018-02-01",,,"Dandelion",,,"Clio","Seed","2634","1Msds",1,"Grams",6.55,6.55,"JOHNNY'S"
"no","2018-02-01",,,"Eggplants",,,"Galine","Seed","2829","250",1,"Ounces",9.05,9.05,"JOHNNY'S"
"no","2018-02-01",,,"Eggplants",,,"Nadia","Seed","2267","250",1,"Ounces",6.8,6.8,"JOHNNY'S"
"no","2018-02-01",,,"Eggplants",,,"Orient Express","Seed","354","1PKT",1,"Ounces",4.25,4.25,"JOHNNY'S"
"yes","2018-02-01",,,"Escarole",,,"Natache","Seed","2614","1Msd",1,"Ounces",8.95,8.95,"JOHNNY'S"
"no","2018-02-01",,,"Lettuce: Mes Mix",,,"Bianca Riccia","Seed","2183","1 OZ",1,"Ounces",9.85,9.85,"JOHNNY'S"
"yes","2018-02-01",,,"Lettuce: Red",,,"Cherokee","Seed","2741JP","1Msd",1,"Ounces",15.5,15.5,"JOHNNY'S"
"yes","2018-02-01",,,"Lettuce: Romaine",,,"Sparx","Seed","3156","1Msd",1,"Ounces",6.35,6.35,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Bell",,,"Biscayne","Seed","568","1 pkt",1,"Grams",4.25,4.25,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Bell",,,"Flavorburst","Seed","54","1 PKT",1,"Grams",4.25,4.25,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Bell",,,"Gourment","Seed","2648","1 pkt",1,"Grams",4.25,4.25,"JOHNNY'S"
"yes","2018-02-01",,,"Peppers: Bell",,,"Intruder","Seed","3921","500Sds",1,"Grams",44.9,44.9,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Bell",,,"Lipstick","Seed","2342","1 PKT",1,"Grams",5.25,5.25,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Bell",,,"Olympus","Seed","2244","500 sd",1,"Grams",34.5,34.5,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Bell",,,"X3r Red Knight","Seed","2309","250 SDS",1,"Grams",24.8,24.8,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Hot",,,"El Eden","Seed","3392","1 PKT",1,"Grams",4.25,4.25,"JOHNNY'S"
"yes","2018-02-01",,,"Radicchio",,,"Indigo","Seed","2245","1Msds",1,"Ounces",32.35,32.35,"JOHNNY'S"
"yes","2018-02-01",,,"Radishes ",,,"Nero Tondo","Seed","616",".25 LB",1,"Pounds",23.7,23.7,"JOHNNY'S"
"yes","2018-02-01",,,"Radishes: Daikon",,,"Mini Mak","Seed","3344","1 OZ",1,"Ounces",15.17,15.17,"JOHNNY'S"
"yes","2018-02-01",,,"Scallions",,,"White Spear","Seed","503",".25 LB",1,"Ounces",18.5,18.5,"JOHNNY'S"
"yes","2018-02-02",,,"Spinach",,,"Gazelle","Seed","2550x","1Msds",100,"Ounces",0.59,59,"JOHNNY'S"
"yes","2018-02-02",,,"Spinach",,,"Space","Seed","644","1Msds",100,"Ounces",0.59,59,"JOHNNY'S"
"yes","2018-02-02",,,"Squash: Butternut",,,"Metro","Seed","2867","1 oz",1,"Pounds",15.25,15.25,"JOHNNY'S"
"yes","2018-02-02",,,"Squash: Winter",,,"Tip Top Acorn","Seed","2269",".5",1,"Pounds",6.5,6.5,"JOHNNY'S"
"no","2018-02-02",,,"Squash: Summer",,,"Gold Star","Seed","3227","250 SDS",1,"Ounces",13.45,13.45,"JOHNNY'S"
"yes","2018-02-02",,,"Squash: Summer",,,"Slick Pik","Seed","640","250 SDS",1,"Ounces",13.45,13.45,"JOHNNY'S"
"yes","2018-02-02",,,"Tomatoes: Cherry",,,"Sun Gold","Seed","770","100 sd",1,"Grams",9.25,9.25,"JOHNNY'S"
"yes","2018-02-02",,,"Tomatoes: Cherry",,,"Valentine","Seed","3371G","100 SDS",1,"Grams",28.2,28.2,"JOHNNY'S"
"no","2018-02-05",,,"Tomatoes: Slicing",,,"Bhn1021","Seed","2591","100 sds",1,"Grams",35.8,35.8,"JOHNNY'S"
"no","2018-02-05",,,"Tomatoes: Slicing",,,"Big Beef","Seed","2063","250 sds",1,"Grams",12.4,12.4,"JOHNNY'S"
"no","2018-02-05",,,"Tomatoes: Slicing",,,"Estiva","Seed","2087","250SD",1,"Grams",22.7,22.7,"JOHNNY'S"
"yes","2018-02-05",,,"Tomatoes: Slicing",,,"Mtn Merit","Seed","3080","250 SDS",1,"Grams",29.85,29.85,"JOHNNY'S"
"no","2018-02-05",,,"Tomatoes: Slicing",,,"Red Duce","Seed","1212","100 sds",1,"Grams",12.55,12.55,"HARRIS"
"yes","2018-02-02",,,"Turnips",,,"Hakurei","Seed","706","1 OZ",1,"Pounds",23.2,23.2,"JOHNNY'S"
"no","2018-02-01",,,"Watermelons",,,"Dark Belle","Seed","3766",".24 OZ",1,"Ounces",21.65,21.65,"JOHNNY'S"
"yes","2018-02-01",,,"Watermelons",,,"Little Baby Flower","Seed","2495",".25OZ",1,"Ounces",29.9,29.9,"JOHNNY'S"
"yes","2018-02-02",,,"Zucchini",,,"Spineless Perfection","Seed","3854","250 SDS",1,"Ounces",21.45,21.45,"JOHNNY'S"
"no","2018-01-26",,,"Bokchoy",,,"Mei Qing","Seed","BACKUP",,,,,,"FEDCO"
"no","2018-01-26",,,"Bokchoy",,,"Mei Qing","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Broccoli",,,"Arcadia","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Broccoli",,,"Arcadia","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Broccoli",,,"Imperial","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Broccoli",,,"Imperial","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Brussel Sprouts",,,"Diablo","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Brussel Sprouts",,,"Diablo","Seed","BACKUP",,,,,,"SEEDWAY"
