"Done","Date","Log name","Asset IDs","Asset names","Archive assets","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Customer"
,"2018-07-17",,,"Basil",,,"Mjs: ",,"DS976",,1,"Cases",6,6,"Dining Services"
,"2018-08-09",,,"Basil",,,"Kmf: No PO",,"DS986",,0.25,"Cases",6,1.5,"Dining Services"
,"2018-08-24",,,"Basil",,,"bjf: no PO. Communicated with Mary Hair re: pricing.",,"DS997",,2.5,"Cases",7.5,18.75,"Dining Services"
,"2018-09-06",,,"Basil",,,"Bjf: Delivered 1 cherry tomatoes and 1 grape tomatoes.  Billed for two Cherry tomato ",,"DS1005",,1,"Cases",7.5,7.5,"Dining Services"
,"2018-05-17",,,"Beef: Burger Patties",,,"Jh: 90 lbs of beef delivered for senior event. $5 per pound.",,"DS958",,90,"Cases",5,450,"Dining Services"
,"2018-08-28",,,"Beef: Burger Patties",,,"Matt: Burger patties delivered 8/28.  Just settled on price today with Errol;
thanks",,"DS1002",,204,"Cases",4.19,854.76,"Dining Services"
,"2018-09-20",,,"Beef: Chuck Roast",,,"Ph: No PO",,"DS1017",,150,"Cases",5.25,787.5,"Dining Services"
,"2018-10-25",,,"Beef: Chuck Roast",,,"Bjf: po 60857",,"DS1045",,40,"Cases",5.25,210,"Dining Services"
,"2018-09-13",,,"Beef: Cubed",,,"Sm: ",,"DS1012",,62,"Cases",5.25,325.5,"Dining Services"
,"2018-10-22",,,"Beef: Ground",,,"Matt: Beef ordered by Angela S for Thurs 10/18.  Actual delivery 10/20.  Check price;
",,"DS1041",,175,"Cases",4.19,733.25,"Dining Services"
,"2018-02-08",,,"Beef: Shaved Steak",,,": ",,"25",,5,"Cases",4,20,"Other"
,"2018-01-18",,,"Beets",,,"jh: PO57004;
",,"CO-DS81",,1,"Cases",17.9,17.9,"Cash Ops: DS"
,"2018-01-22",,,"Beets",,,"jh: PO 57057 revised on 1/31/18 with adjusted cost of pepper strips",,"DS919",,2,"Cases",17.9,35.8,"Dining Services"
,"2018-01-29",,,"Beets",,,"Ben: PO 57108;
Beets and Turnips added on via text.",,"DS926",,1,"Cases",17.9,17.9,"Dining Services"
,"2018-02-06",,,"Beets",,,"Bjf: PO 57231;
Beets added to order via text.",,"DS933",,1,"Cases",17.9,17.9,"Dining Services"
,"2018-02-19",,,"Beets",,,"Mjs: PO 57481",,"DS940",,2,"Cases",17.9,35.8,"Dining Services"
