"Done","Date","Log name","Asset IDs","Asset names","Archive assets","Notes","Categories","Quantity measure","Quantity value","Quantity unit","Quantity label","Source/supplier","Movement to"
,"2018-03-05",,,"Onions: Spring",,"Seed Code: N/A (No Variety) - 30.0 bed feet","Plantings","150 Row ft",30,"Bed ft","5 rows/bed",,"1-PASTURE"
,"2018-03-05",,,"Garlic: Green",,"Seed Code: N/A (No Variety) - 30.0 bed feet","Plantings","150 Row ft",30,"Bed ft","5 rows/bed",,"CHUAU-1"
,"2018-03-20",,,"Cilantro",,"Seed Code: HO-17-1-OG (DCF CILANTRO) - 20.0 bed feet","Plantings","100 Row ft",20,"Bed ft","5 rows/bed",,"CHUAU-2"
,"2018-03-20",,,"Greens: Mes Mix",,"Seed Code: GX-16-5-OG (ARUGULA) - 24.0 bed feet;Seed Code: GX-16-1-OG (MIZUNA) - 8.0 bed feet;Seed Code: GX-16-2-OG (RED RUSSIAN ) - 8.0 bed feet","Plantings","40 Row ft",40,"Bed ft","1 rows/bed",,"CHUAU-2"
,"2018-03-20",,,"Lettuce: Mes Mix",,"Seed Code: LX-17-2-OG (RED SALAD BOWL) - 20.0 bed feet;Seed Code: LX-17-3-UT (TANGO) - 20.0 bed feet;Seed Code: LX-17-4-UT (SALAD BOWL) - 20.0 bed feet","Plantings","240 Row ft",60,"Bed ft","4 rows/bed",,"CHUAU-2"
,"2018-03-20",,,"Spinach",,"Seed Code: SH-17-1-OG (CORVAIR) - 80.0 bed feet","Plantings","240 Row ft",80,"Bed ft","3 rows/bed",,"CHUAU-3"
,"2018-03-28",,,"Onions: Spring",,"Seed Code: N/A (No Variety) - 30.0 bed feet","Plantings","150 Row ft",30,"Bed ft","5 rows/bed",,"CHUAU-1"
,"2018-04-06",,,"Radishes",,"Seed Code: RH-18-4-OG (PINK BEAUTY) - 25.0 bed feet","Plantings","100 Row ft",25,"Bed ft","4 rows/bed",,"CHUAU-2"
,"2018-04-06",,,"Endive",,"Seed Code: EE-18-2-UT (BIANCA RICCIA) - 30.0 bed feet","Plantings","120 Row ft",30,"Bed ft","4 rows/bed",,"CHUAU-2"
,"2018-04-15",,,"Peas: Snap",,"Seed Code: PP-18-1-UT (SUPER SUGAR SNAP) - 350.0 bed feet","Plantings","350 Row ft",350,"Bed ft","1 rows/bed",,"SQ 7"
,"2018-04-15",,,"Beets",,"Seed Code: BT-18-1-OG (DETROIT DARK RED) - 83.0 bed feet","Plantings","249 Row ft",83,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-15",,,"Cilantro",,"Seed Code: HO-17-1-OG (DCF CILANTRO) - 20.0 bed feet","Plantings","60 Row ft",20,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-15",,,"Dill",,"Seed Code: HL-17-1-OG (DCF DILL) - 20.0 bed feet","Plantings","60 Row ft",20,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-15",,,"Radishes",,"Seed Code: RH-18-4-OG (PINK BEAUTY) - 25.0 bed feet","Plantings","75 Row ft",25,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-15",,,"Lettuce: Mes Mix",,"pre-made mix (tango, red and green saladbowl);Seed Code: N/A (No Variety) - 130.0 bed feet","Plantings","390 Row ft",130,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-16",,,"Lettuce: Mes Mix",,"pre-made mix;Seed Code: N/A (No Variety) - 60.0 bed feet","Plantings","240 Row ft",60,"Bed ft","4 rows/bed",,"CHUAU-4"
,"2018-04-21",,,"Spinach",,"Seed Code: SH-18-1-UT (SPACE) - 110.0 bed feet","Plantings","440 Row ft",110,"Bed ft","4 rows/bed",,"SQ 7"
,"2018-04-21",,,"Beets",,"Seed Code: BT-18-1-OG (DETROIT DARK RED) - 83.0 bed feet","Plantings","249 Row ft",83,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-21",,,"Broccoli Rabe",,"Seed Code: BE-17-2-UT (SPRING RAAB) - 15.0 bed feet","Plantings","45 Row ft",15,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-21",,,"Cilantro",,"Seed Code: HO-17-1-OG (DCF CILANTRO) - 15.0 bed feet","Plantings","45 Row ft",15,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-21",,,"Dill",,"Seed Code: HL-17-1-OG (DCF DILL) - 15.0 bed feet","Plantings","45 Row ft",15,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-21",,,"Radishes",,"Seed Code: RH-18-4-OG (PINK BEAUTY) - 25.0 bed feet","Plantings","75 Row ft",25,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-21",,,"Onions: Spring",,"Martin's Produce;Seed Code: N/A (No Variety) - 20.0 bed feet","Plantings","60 Row ft",20,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-04-26",,,"Lettuce: Mes Mix",,"pre-made mix;Seed Code: LX-17-2-OG (RED SALAD BOWL) - 35.0 bed feet","Plantings","140 Row ft",35,"Bed ft","4 rows/bed",,"CHUAU-4"
,"2018-04-26",,,"Radishes",,"Seed Code: RH-18-1-OG (RUDOLF) - 20.0 bed feet","Plantings","80 Row ft",20,"Bed ft","4 rows/bed",,"CHUAU-4"
,"2018-04-28",,,"Peas: Snap",,"Seed Code: PP-18-1-UT (SUPER SUGAR SNAP) - 300.0 bed feet","Plantings","300 Row ft",300,"Bed ft","1 rows/bed",,"SQ 7"
,"2018-05-05",,,"Potatoes",,"Norland 280 x 3.25;
Valerie 280 x 2.75;
Yukon Gold 280 x 3.5;
Burbank 140;
;Seed Code: N/A (No Variety) - 2800.0 bed feet","Plantings","2800 Row ft",2800,"Bed ft","1 rows/bed",,"R"
,"2018-05-05",,,"Potatoes",,"Burbank 265 x 3;
Kenebec 265 x 3;Seed Code: N/A (No Variety) - 1590.0 bed feet","Plantings","1590 Row ft",1590,"Bed ft","1 rows/bed",,"V"
,"2018-05-11",,,"Carrots",,"Seed Code: CT-17-2-UT (HERCULES) - 350.0 bed feet","Plantings","1050 Row ft",350,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-05-11",,,"Beets",,"Seed Code: BT-18-1-OG (DETROIT DARK RED) - 135.0 bed feet","Plantings","405 Row ft",135,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-05-11",,,"Lettuce: Mes Mix",,"mix: red and green salad bowl plus tango;Seed Code: N/A (No Variety) - 125.0 bed feet","Plantings","375 Row ft",125,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-05-11",,,"Radishes",,"Seed Code: RH-18-4-OG (PINK BEAUTY) - 25.0 bed feet","Plantings","75 Row ft",25,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-05-11",,,"Beans",,"Seed Code: BN-18-3-OG (E-Z PICK) - 55.0 bed feet","Plantings","110 Row ft",55,"Bed ft","2 rows/bed",,"SQ 7"
,"2018-05-11",,,"Broccoli Rabe",,"Seed Code: BE-17-2-UT (SPRING RAAB) - 15.0 bed feet","Plantings","45 Row ft",15,"Bed ft","3 rows/bed",,"SQ 7"
,"2018-05-25",,,"Beans",,"Seed Code: BN-18-3-OG (E-Z PICK) - 50.0 bed feet","Plantings","100 Row ft",50,"Bed ft","2 rows/bed",,"SQ 8"
