"Name","Archived","Description","Parent IDs","Nicknames","Date of birth","Species/breed","Sex","Castrated","Tag ID","Tag type","Tag location"
"S-0021",,,"N/A N/A",,"2016-05-21","N/A","M",,"S-0021",,
"S-11-48",," ","N/A N/A",48,"2011-05-04","BLUE FACED LEICESTER","F",,"S-11-48",,
"s-16-0021",,"white","S-14-52 N/A",,"2016-03-11","CHEVIOT MIX","F",,"s-16-0021",,
"s-16-0031",,"brown","S-14-52 N/A",,"2016-03-11","CHEVIOT MIX","F",,"s-16-0031",,
"S-16-0090",,"White","N/A N/A",,"2016-04-12","CHEVIOT MIX","F",,"S-16-0090",,
"S-16-01",,,"S-13-8 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-01",,
"S-16-04",,,"S-14-71 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-04",,
"S-16-07",,,"S-13-6 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-07",,
"S-16-08",,,"S-14-52 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-08",,
"S-16-13",," ","S-13-9 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-13",,
"S-16-14",,,"S-11-2 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-14",,
"S-16-1602",," Brown","S-14-71 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-1602",,
"S-16-1616",,"white","N/A N/A",,"2016-03-17","CHEVIOT MIX","F",,"S-16-1616",,
"S-16-17",," ","N/A A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-17",,
"S-16-18",," slashed r ear","N/A A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-18",,
"S-16-19",,"cut on back of ear","N/A A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-19",,
"S-16-39",," ","N/A A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-39",,
"S-16-40",,"5 spots left ear","N/A A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-40",,
"S-17-0026",,"White.  ","N/A N/A",,"2017-04-07","CHEVIOT MIX","F",,"S-17-0026",,
"S-17-0029",,,"N/A N/A",,"2017-04-06","CHEVIOT MIX","F",,"S-17-0029",,
"S-17-0040",,"White.  ","N/A N/A",,"2017-04-07","CHEVIOT MIX","F",,"S-17-0040",,
"S-17-02",,,"S-14-52 A-13-MOMO",,"2017-05-16","CHEVIOT MIX","F",,"S-17-02",,
"S-17-06",,,"S-14-71 A-13-MOMO",,"2017-05-22","CHEVIOT MIX","F",,"S-17-06",,
