Done,Date,Log name,Asset IDs,Asset names,Areas,Notes,Categories,Quantity measure,Quantity value,Quantity unit,Quantity label,Lot number
,2017-04-03,,,Spinach,SQ 7,,,,20,Pounds,,
,2017-10-19,,,Chinese Cabbage,Q,,,,20,Head,,
,2018-02-20,,,Lettuce: Mes Mix,JASMINE-3,,,,6,Pounds,,
,2018-03-13,,,Spinach,GHANA-2,,,,25,Pounds,,
,2018-03-13,,,Spinach,JASMINE-4,,,,27,Pounds,,
,2018-03-20,,,Bokchoy,GHANA-1,,,,11,Head,,
,2018-03-20,,,Spinach,GHANA-2,,,,16,Pounds,,
,2018-03-28,,,Lettuce: Mes Mix,JASMINE-3,,,,20,Pounds,,
,2018-03-28,,,Spinach,GHANA-2,,,,32,Pounds,,
,2018-04-05,,,Cilantro,JASMINE-5,,,,5,Bunches,,
,2018-04-05,,,Spinach,JASMINE-4,,,,18,Pounds,,
,2018-04-10,,,Spinach,JASMINE-4,,,,2,Pounds,,
,2018-04-10,,,Spinach,GHANA-2,,,,7,Pounds,,
,2018-04-11,,,Spinach,GHANA-2,,,,21,Pounds,,
,2018-04-12,,,Cilantro,JASMINE-5,,,,4,Bunches,,
,2018-04-12,,,Lettuce: Mes Mix,JASMINE-5,,,,3,Pounds,,
,2018-04-26,,,Cilantro,JASMINE-5,,,,3,Bunches,,
,2018-04-26,,,Lettuce: Red,GHANA-1,,,,4,Head,,
,2018-04-26,,,Spinach,GHANA-2,,,,15,Pounds,,
,2018-05-07,,,Cilantro,CHUAU-2,,,,5,Bunches,,
,2018-05-07,,,Garlic: Green,CHUAU-1,,,,10,Bunches,,
,2018-05-07,,,Lettuce: Mes Mix,CHUAU-2,,,,10,Pounds,,
,2018-05-07,,,Radishes,CHUAU-2,,,,5,Bunches,,
,2018-05-14,,,Asparagus,ASPARAGUS,,,,19.25,Pounds,,
,2018-05-14,,,Asparagus,M,,,,10.25,Pounds,,
,2018-05-14,,,Garlic: Green,SQ 7,,,,12,Bunches,,
,2018-05-14,,,Greens: Mes Mix,CHUAU-2,,,,2,Pounds,,
