"Done","Date","Log name","Asset IDs","Asset names","Areas","Notes","Categories","Quantity measure","Quantity value","Quantity unit","Quantity label","Lot number"
,"2018-05-24",,,"Asparagus","ASPARAGUS",,,,28.5,"Pounds",,
,"2018-05-24",,,"Asparagus","M",,,,18,"Pounds",,
,"2018-05-24",,,"Spinach","Q",,,,8.5,"Pounds",,
,"2018-05-28",,,"Spinach","CHUAU-3",,,,6.5,"Pounds",,
,"2018-06-04",,,"Cilantro","SQ 7",,,,15,"Bunches",,
,"2018-06-04",,,"Dandelion","SQ 7",,,,7,"Bunches",,
,"2018-06-04",,,"Endive","SQ 7",,,,7.5,"Pounds",,
,"2018-06-04",,,"Spinach","SQ 7",,,,28.5,"Pounds",,
,"2018-06-07",,,"Cilantro","SQ 7",,,,10,"Bunches",,
,"2018-06-07",,,"Lettuce: Mes Mix","SQ 7",,,,18.5,"Pounds",,
,"2018-06-11",,,"Cilantro","SQ 7",,,,20,"Bunches",,
,"2018-06-11",,,"Dandelion","SQ 7",,,,5,"Bunches",,
,"2018-06-11",,,"Lettuce: Mes Mix","SQ 7",,,,36,"Pounds",,
,"2018-06-11",,,"Strawberries","SQ 10",,,,96,"Quarts",,
,"2018-06-14",,,"Cilantro","SQ 7",,,,15,"Bunches",,
,"2018-06-14",,,"Dill","SQ 7",,,,10,"Bunches",,
,"2018-06-14",,,"Endive","SQ 7",,,,3,"Pounds",,
,"2018-06-14",,,"Lettuce: Mes Mix","SQ 7",,,,18,"Pounds",,
,"2018-06-14",,,"Radishes","SQ 7",,,,34,"Bunches",,
,"2018-06-14",,,"Strawberries","SQ 10",,,,17,"Quarts",,
,"2018-06-14",,,"Strawberries","SQ 10",,,,4,"Quarts",,
,"2018-06-18",,,"Endive","SQ 7",,,,7,"Pounds",,
,"2018-06-18",,,"Lettuce: Mes Mix","SQ 7",,,,41.5,"Pounds",,
,"2018-06-25",,,"Beets","SQ 7",,,,24,"Bunches",,
,"2018-06-25",,,"Beets","SQ 7",,,,10,"Bunches",,
,"2018-06-25",,,"Endive","SQ 7",,,,5,"Pounds",,
,"2018-06-25",,,"Lettuce: Mes Mix","SQ 7",,,,66.5,"Pounds",,
,"2018-06-28",,,"Beets","SQ 7",,,,28,"Bunches",,
,"2018-06-28",,,"Endive","SQ 7",,,,8,"Pounds",,
,"2018-06-28",,,"Lettuce: Mes Mix","SQ 7",,,,59.5,"Pounds",,
,"2018-07-02",,,"Beets","SQ 7",,,,24,"Bunches",,
,"2018-07-02",,,"Squash: Summer","SQ 9",,,,74.5,"Pounds",,
,"2018-07-05",,,"Beets","SQ 7",,,,45,"Bunches",,
,"2018-07-05",,,"Endive","SQ 7",,,,3,"Pounds",,
,"2018-07-05",,,"Lettuce: Mes Mix","SQ 7",,,,22,"Pounds",,
,"2018-07-05",,,"Radicchio","SQ 7",,,,4.22535,"Pounds",,
,"2018-07-09",,,"Beets","SQ 7",,,,35,"Bunches",,
,"2018-07-09",,,"Broccoli Rabe","SQ 7",,,,15,"Bunches",,
,"2018-07-09",,,"Carrots","SQ 7",,,,58,"Bunches",,
,"2018-07-09",,,"Onions: Spring","SQ 7",,,,28.5714,"Bunches",,
,"2018-07-09",,,"Squash: Summer","SQ 9",,,,14.5,"Pounds",,
,"2018-07-09",,,"Squash: Summer","SQ 9",,,,1.5,"Pounds",,
,"2018-07-09",,,"Zucchini","SQ 9",,,,16,"Pounds",,
,"2018-07-12",,,"Endive","SQ 7",,,,4.5,"Pounds",,
,"2018-07-12",,,"Lettuce: Mes Mix","SQ 7",,,,32.5,"Pounds",,
,"2018-07-12",,,"Peas: Snap","SQ 7",,,,12.5,"Pounds",,
,"2018-07-12",,,"Radicchio","SQ 7",,,,7,"Pounds",,
,"2018-07-12",,,"Squash: Summer","SQ 9",,,,8.25,"Pounds",,
,"2018-07-12",,,"Zucchini","SQ 9",,,,1.75,"Pounds",,
,"2018-07-16",,,"Beans","SQ 8",,,,19.5,"Pounds",,
,"2018-07-16",,,"Cucumbers","SQ 9",,,,36.5,"Pounds",,
,"2018-07-16",,,"Endive","SQ 7",,,,7.5,"Pounds",,
,"2018-07-16",,,"Lettuce: Mes Mix","SQ 7",,,,33,"Pounds",,
,"2018-07-16",,,"Lettuce: Mes Mix","P",,,,33.5,"Pounds",,
,"2018-07-16",,,"Radicchio","SQ 7",,,,11.5,"Pounds",,
,"2018-07-16",,,"Squash: Summer","SQ 9",,,,15.75,"Pounds",,
,"2018-07-16",,,"Squash: Summer","U",,,,16.25,"Pounds",,
,"2018-07-16",,,"Zucchini","SQ 9",,,,18.25,"Pounds",,
,"2018-07-16",,,"Zucchini","SQ 9",,,,2.75,"Pounds",,
,"2018-07-19",,,"Beets","SQ 7",,,,44,"Bunches",,
,"2018-07-19",,,"Carrots","SQ 7",,,,43,"Bunches",,
,"2018-07-19",,,"Endive","SQ 7",,,,4.5,"Pounds",,
,"2018-07-19",,,"Onions: Spring","SQ 7",,,,49,"Bunches",,
,"2018-07-19",,,"Radicchio","SQ 7",,,,7,"Pounds",,
,"2018-07-23",,,"Beets","SQ 7",,,,87.6,"Bunches",,
,"2018-07-23",,,"Carrots","SQ 7",,,,39.7143,"Bunches",,
,"2018-07-23",,,"Carrots","SQ 7",,,,15,"Bunches",,
,"2018-07-23",,,"Cucumbers","SQ 9",,,,55,"Pounds",,
,"2018-07-23",,,"Cucumbers","U",,,,10.5,"Pounds",,
,"2018-07-23",,,"Endive","P",,,,7.5,"Pounds",,
,"2018-07-23",,,"Lettuce: Mes Mix","SQ 7",,,,5.5,"Pounds",,
,"2018-07-23",,,"Radicchio","SQ 7",,,,8.5,"Pounds",,
,"2018-07-23",,,"Squash: Summer","SQ 9",,,,1.5,"Pounds",,
,"2018-07-23",,,"Squash: Summer","U",,,,10,"Pounds",,
,"2018-07-23",,,"Zucchini","SQ 9",,,,4.5,"Pounds",,
,"2018-07-23",,,"Zucchini","U",,,,2,"Pounds",,
,"2018-07-26",,,"Beans","SQ 8",,,,7.5,"Pounds",,
,"2018-07-26",,,"Beets","SQ 7",,,,18,"Bunches",,
,"2018-07-26",,,"Beets","SQ 7",,,,84.8,"Bunches",,
,"2018-07-26",,,"Carrots","SQ 7",,,,46,"Bunches",,
,"2018-07-26",,,"Cucumbers","SQ 9",,,,3.75,"Pounds",,
,"2018-07-26",,,"Cucumbers","O",,,,14,"Pounds",,
,"2018-07-26",,,"Lettuce: Mes Mix","SQ 7",,,,12,"Pounds",,
,"2018-07-26",,,"Squash: Summer","U",,,,8.25,"Pounds",,
,"2018-07-26",,,"Zucchini","U",,,,3.75,"Pounds",,
,"2018-07-28",,,"Cucumbers","O",,,,68.75,"Pounds",,
,"2018-07-30",,,"Basil","P",,,,30,"Bunches",,
,"2018-07-30",,,"Beans","SQ 8",,,,8.5,"Pounds",,
,"2018-07-30",,,"Carrots","SQ 7",,,,15,"Bunches",,
,"2018-07-30",,,"Carrots","SQ 7",,,,63.4286,"Bunches",,
,"2018-07-30",,,"Chard","P",,,,12.5,"Bunches",,
,"2018-07-30",,,"Cucumbers","O",,,,70.25,"Pounds",,
,"2018-07-30",,,"Cucumbers","SQ 9",,,,68.25,"Pounds",,
,"2018-07-30",,,"Cucumbers","U",,,,1,"Pounds",,
,"2018-07-30",,,"Endive","P",,,,4,"Pounds",,
