"Done","Date","Log name","Asset IDs","Asset names","Areas","Notes","Categories","Quantity measure","Quantity value","Quantity unit","Quantity label","Material","Purpose","Application method","Source/manufacturer","Lot number","Date purchased"
,"2018-06-02",,,"PYGANIC","M","asparagus and flea beetles;
","Spraying: Tractor",1.23,14.5,"Ounces","80%","PYGANIC","Asparagus",,,,
,"2018-06-02",,,"PYGANIC","S","asparagus and flea beetles;
","Spraying: Tractor",1.94,14.5,"Ounces","78%","PYGANIC","Cabbage",,,,
,"2018-06-02",,,"PYGANIC","SQ 7","asparagus and flea beetles;
","Spraying: Tractor",2.84,14.5,"Ounces","8%","PYGANIC","Radish",,,,
,"2018-06-02",,,"ORGANIC GEM 343","M","asparagus and flea beetles;
","Spraying: Tractor",0.41,4,"Quarts","80%","ORGANIC GEM 343","Asparagus",,,,
,"2018-06-02",,,"ORGANIC GEM 343","S","asparagus and flea beetles;
","Spraying: Tractor",0.65,4,"Quarts","78%","ORGANIC GEM 343","Cabbage",,,,
,"2018-06-02",,,"ORGANIC GEM 343","SQ 7","asparagus and flea beetles;
","Spraying: Tractor",0.95,4,"Quarts","8%","ORGANIC GEM 343","Radish",,,,
,"2018-06-02",,,"NUFILM P","M","asparagus and flea beetles;
","Spraying: Tractor",0.61,8,"Ounces","80%","NUFILM P","Asparagus",,,,
,"2018-06-02",,,"NUFILM P","S","asparagus and flea beetles;
","Spraying: Tractor",0.97,8,"Ounces","78%","NUFILM P","Cabbage",,,,
,"2018-06-02",,,"NUFILM P","SQ 7","asparagus and flea beetles;
","Spraying: Tractor",1.42,8,"Ounces","8%","NUFILM P","Radish",,,,
,"2018-06-02",,,"REGALIA","N","disease pre-emption","Spraying: Tractor",0.29,3.1,"Quarts","100%","REGALIA","Tomatoes: Slicing, Peppers: Bell",,,,
,"2018-06-02",,,"REGALIA","R","disease pre-emption","Spraying: Tractor",0.53,3.1,"Quarts","100%","REGALIA","Potatoes",,,,
,"2018-06-02",,,"REGALIA","V","disease pre-emption","Spraying: Tractor",0.59,3.1,"Quarts","73%","REGALIA","Potatoes",,,,
,"2018-06-02",,,"REGALIA","SQ 7","disease pre-emption","Spraying: Tractor",0.59,3.1,"Quarts","17%","REGALIA","Peas: Snap",,,,
,"2018-06-02",,,"ORGANIC GEM 343","N","disease pre-emption","Spraying: Tractor",0.59,4,"Quarts","100%","ORGANIC GEM 343","Tomatoes: Slicing, Peppers: Bell",,,,
,"2018-06-02",,,"ORGANIC GEM 343","R","disease pre-emption","Spraying: Tractor",1.07,4,"Quarts","100%","ORGANIC GEM 343","Potatoes",,,,
,"2018-06-02",,,"ORGANIC GEM 343","V","disease pre-emption","Spraying: Tractor",1.17,4,"Quarts","73%","ORGANIC GEM 343","Potatoes",,,,
