Done,Date,Log name,Asset IDs,Asset names,Areas,Notes,Categories,Quantity measure,Quantity value,Quantity unit,Quantity label,Material,Purpose,Application method,Source/manufacturer,Lot number,Date purchased
,2018-07-27,,,ORGANIC GEM 343,S,,Spraying: Tractor,0.58,4,Quarts,11%,ORGANIC GEM 343,,,,,
,2018-07-27,,,ORGANIC GEM 343,SQ 10,,Spraying: Tractor,0.92,4,Quarts,86%,ORGANIC GEM 343,,,,,
,2018-07-27,,,ORGANIC GEM 343,SQ 5,,Spraying: Tractor,1,4,Quarts,33%,ORGANIC GEM 343,,,,,
,2018-07-27,,,NUFILM P,S,,Spraying: Tractor,2.25,16,Ounces,11%,NUFILM P,,,,,
,2018-07-27,,,NUFILM P,SQ 10,,Spraying: Tractor,3.6,16,Ounces,86%,NUFILM P,,,,,
,2018-07-27,,,NUFILM P,SQ 5,,Spraying: Tractor,3.9,16,Ounces,33%,NUFILM P,,,,,
,2018-07-27,,,ENTRUST,S,,Spraying: Tractor,1.02,7.15,Ounces,11%,ENTRUST,,,,,
,2018-07-27,,,ENTRUST,SQ 10,,Spraying: Tractor,1.62,7.15,Ounces,86%,ENTRUST,,,,,
,2018-07-27,,,ENTRUST,SQ 5,,Spraying: Tractor,1.76,7.15,Ounces,33%,ENTRUST,,,,,
,2018-08-02,,,BADGE X2,N,,Spraying: Tractor,0.16,1.02,Pounds,80%,BADGE X2,Tomatoes: Slicing,,,,
,2018-08-02,,,BADGE X2,SQ 6,,Spraying: Tractor,0.36,1.02,Pounds,89%,BADGE X2,Tomatoes: Slicing,,,,
,2018-08-02,,,BADGE X2,O,,Spraying: Tractor,0.2,1.02,Pounds,40%,BADGE X2,Cucumbers,,,,
,2018-08-02,,,BADGE X2,U,,Spraying: Tractor,0.38,1.02,Pounds,67%,BADGE X2,Cucumbers,,,,
,2018-08-02,,,BADGE X2,SQ 9,,Spraying: Tractor,0.3,1.02,Pounds,67%,BADGE X2,Cucumbers,,,,
,2018-08-02,,,ORGANIC GEM 343,N,,Spraying: Tractor,0.62,4,Quarts,80%,ORGANIC GEM 343,Tomatoes: Slicing,,,,
,2018-08-02,,,ORGANIC GEM 343,SQ 6,,Spraying: Tractor,1.35,4,Quarts,89%,ORGANIC GEM 343,Tomatoes: Slicing,,,,
,2018-08-02,,,ORGANIC GEM 343,O,,Spraying: Tractor,0.76,4,Quarts,40%,ORGANIC GEM 343,Cucumbers,,,,
,2018-08-02,,,ORGANIC GEM 343,U,,Spraying: Tractor,1.43,4,Quarts,67%,ORGANIC GEM 343,Cucumbers,,,,
,2018-08-02,,,ORGANIC GEM 343,SQ 9,,Spraying: Tractor,1.15,4,Quarts,67%,ORGANIC GEM 343,Cucumbers,,,,
,2018-08-02,,,NUFILM P,N,,Spraying: Tractor,2.44,16,Ounces,80%,NUFILM P,Tomatoes: Slicing,,,,
,2018-08-02,,,NUFILM P,SQ 6,,Spraying: Tractor,5.33,16,Ounces,89%,NUFILM P,Tomatoes: Slicing,,,,
,2018-08-02,,,NUFILM P,O,,Spraying: Tractor,3,16,Ounces,40%,NUFILM P,Cucumbers,,,,
,2018-08-02,,,NUFILM P,U,,Spraying: Tractor,5.67,16,Ounces,67%,NUFILM P,Cucumbers,,,,
,2018-08-02,,,NUFILM P,SQ 9,,Spraying: Tractor,4.56,16,Ounces,67%,NUFILM P,Cucumbers,,,,
,2018-08-02,,,REGALIA,N,,Spraying: Tractor,0.31,2,Quarts,80%,REGALIA,Tomatoes: Slicing,,,,
,2018-08-02,,,REGALIA,SQ 6,,Spraying: Tractor,0.69,2,Quarts,89%,REGALIA,Tomatoes: Slicing,,,,
,2018-08-02,,,REGALIA,O,,Spraying: Tractor,0.39,2,Quarts,40%,REGALIA,Cucumbers,,,,
,2018-08-02,,,REGALIA,U,,Spraying: Tractor,0.73,2,Quarts,67%,REGALIA,Cucumbers,,,,
,2018-08-02,,,REGALIA,SQ 9,,Spraying: Tractor,0.59,2,Quarts,67%,REGALIA,Cucumbers,,,,
,2018-08-09,,,ENTRUST,SQ 10,,Spraying: Tractor,2.02,6.2,Ounces,86%,ENTRUST,Broccoli,,,,
,2018-08-09,,,ENTRUST,SQ 5,,Spraying: Tractor,2.19,6.2,Ounces,22%,ENTRUST,Broccoli,,,,
,2018-08-09,,,ENTRUST,SQ 3,,Spraying: Tractor,2.19,6.2,Ounces,89%,ENTRUST,Broccoli,,,,
,2018-08-09,,,ENTRUST,ALF 1,,Spraying: Tractor,1.51,6.2,Ounces,89%,ENTRUST,Broccoli,,,,
,2018-08-09,,,ORGANIC GEM 343,SQ 10,,Spraying: Tractor,1.28,4,Quarts,86%,ORGANIC GEM 343,Broccoli,,,,
,2018-08-09,,,ORGANIC GEM 343,SQ 5,,Spraying: Tractor,1.38,4,Quarts,22%,ORGANIC GEM 343,Broccoli,,,,
,2018-08-09,,,ORGANIC GEM 343,SQ 3,,Spraying: Tractor,1.38,4,Quarts,89%,ORGANIC GEM 343,Broccoli,,,,
,2018-08-09,,,ORGANIC GEM 343,ALF 1,,Spraying: Tractor,0.96,4,Quarts,89%,ORGANIC GEM 343,Broccoli,,,,
,2018-08-09,,,NUFILM P,SQ 10,,Spraying: Tractor,3.24,10,Ounces,86%,NUFILM P,Broccoli,,,,
,2018-08-09,,,NUFILM P,SQ 5,,Spraying: Tractor,3.51,10,Ounces,22%,NUFILM P,Broccoli,,,,
