"Done","Date","Log name","Asset IDs","Asset names","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Seller"
,"2018-01-07",,,"HAY: DRY GRASS",,,"Feed, Cattle",,,3.26,"ROUND BALE",125,407.5,"BRIAN STEIGELMAN"
,"2018-01-20",,,"MINERALS: KELP POWDER",,,"Feed, Cattle",,,2,"BAG: 50#",50,100,"JASON FRITZ"
,"2018-01-20",,,"HAY: DRY GRASS",,,"Feed, Cattle",,,32,"ROUND BALE",33.84,1082.88,"SHIPPENSBURG AUCTION"
,"2018-02-25",,,"HAY: ORCHARD ALFALFA MIX",,,"Feed, Cattle",,,17,"ROUND BALE",38.25,650.25,"SHIPPENSBURG AUCTION"
,"2018-02-25",,,"HAY: ALFALFA ORCHARDGRASS 2ND CUT",,,"Feed, Cattle",,,47,"SMALL SQUARE BALE",3.4,159.8,"SHIPPENSBURG AUCTION"
,"2018-03-02",,,"HAY: DRY GRASS",,,"Feed, Cattle",,,14,"ROUND BALE",26.67,373.38,"SHIPPENSBURG AUCTION"
,"2018-03-08",,,"MINERALS: KELP POWDER",,,"Feed, Cattle",,,1,"BAG: 50#",60,60,"JASON FRITZ"
,"2018-03-20",,,"HAY: ORCHARD ALFALFA MIX",,,"Feed, Cattle",,,12,"ROUND BALE",43.58,522.96,"SHIPPENSBURG AUCTION"
,"2018-04-06",,,"MINERALS: KELP POWDER",,,"Feed, Cattle",,,1,"BAG: 50#",60,60,"JASON FRITZ"
,"2018-04-07",,,"HAY: DRY GRASS",,,"Feed, Cattle",,,12,"ROUND BALE",35.28,423.36,"SHIPPENSBURG AUCTION"
,"2018-04-14",,,"HAY: ORCHARD ALFALFA MIX",,"Alf oats wrapped, Eberly","Feed, Cattle",,,6,"ROUND BALE",41.44,248.64,"SHIPPENSBURG AUCTION"
,"2018-05-31",,,"MINERALS: KELP POWDER",,,"Feed, Cattle",,,2,"BAG: 50#",60,120,"JASON FRITZ"
,"2018-05-31",,,"MINERALS: GRAZIERS CHOICE",,,"Feed, Cattle",,,1,"BAG: 50#",40,40,"JASON FRITZ"
,"2018-06-15",,,"MINERALS: KELP POWDER",,,"Feed, Cattle",,,2,"BAG: 50#",60,120,"JASON FRITZ"
,"2018-08-09",,,"MINERALS: KELP POWDER",,,"Feed, Cattle",,,2,"BAG: 50#",60,120,"JASON FRITZ"
,"2018-08-11",,,"MINERALS: KELP POWDER",,,"Feed, Cattle",,,2,"BAG: 50#",60,120,"JASON FRITZ"
,"2018-09-24",,,"HAY: ALFALFA ORCHARDGRASS 2ND CUT",,"Hay made by hoovers on shares, this is part of our half","Feed, Cattle",,,310,"SMALL SQUARE BALE",0.01,3.1,"HOOVERS"
,"2018-10-19",,,"MINERALS: KELP POWDER",,,"Feed, Cattle",,,2,"BAG: 50#",60,120,"JASON FRITZ"
,"2018-10-19",,,"MINERALS: GRAZIERS CHOICE",,,"Feed, Cattle",,,1,"BAG: 50#",39,39,"JASON FRITZ"
,"2018-10-27",,,"HAY: DRY GRASS",,,"Feed, Cattle",,,3.11,"ROUND BALE",150,466.5,"BRIAN STEIGELMAN"
,"2018-11-07",,,"HAY: DRY GRASS",,,"Feed, Cattle",,,3.61,"ROUND BALE",150,541.5,"BRIAN STEIGELMAN"
,"2018-11-13",,,"HAY: DRY GRASS",,,"Feed, Cattle",,,24,"ROUND BALE",33,792,"SHIPPENSBURG AUCTION"
,"2018-12-06",,,"HAY: ORCHARD ALFALFA MIX",,"Weight seems inaccurate will skew hay price avg","Feed, Cattle",,,11,"ROUND BALE",80.88,889.68,"SHIPPENSBURG AUCTION"
