"Done","Date","Log name","Asset IDs","Asset names","Archive assets","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Seller"
"no","2018-01-26",,,"Arugula",,,"Arugula","Seed","2891",".25 lb",1,"Ounces",12.15,12.15,"JOHNNY'S"
"yes","2018-01-26",,,"Beans",,,"E-Z Pick","Seed","242OG","Msd",5,"Pounds",6.55,32.75,"JOHNNY'S"
"yes","2018-01-26",,,"Beans",,,"Jade Bush","Seed","16G","1Msds",5,"Pounds",6.55,32.75,"JOHNNY'S"
"no","2018-01-26",,,"Beans",,,"Rodcor","Seed","26G","1Msds",5,"Pounds",7.12,35.6,"JOHNNY'S"
"no","2018-01-26",,,"Beans",,,"Royal Burgundy","Seed","2944G","1Msd",1,"Pounds",7.4,7.4,"JOHNNY'S"
"yes","2018-01-26",,,"Beets",,,"Chioggia","Seed","25G","1Msd",5,"Pounds",3.12,15.6,"JOHNNY'S"
"no","2018-01-26",,,"Beets",,,"Detroit Dark Red","Seed","2280","1 lb",1,"Pounds",20,20,"HIGH MOWING"
"no","2018-01-26",,,"Beets",,,"Early Wonder","Seed","2290","1/4 lb",1,"Pounds",6.95,6.95,"HIGH MOWING"
"no","2018-01-26",,,"Beets",,,"Rhonda","Seed","2289","5Msd",1,"Pounds",30.25,30.25,"HIGH MOWING"
"yes","2018-01-26",,,"Broccoli",,,"Belstar","Seed","2815G","1 Msd",1,"Pounds",27.75,27.75,"JOHNNY'S"
"yes","2018-01-26",,,"Cabbage",,,"Faro","Seed","21110G","500 sds",1,"Ounces",17.9,17.9,"JOHNNY'S"
"no","2018-01-26",,,"Cabbage",,,"Impala","Seed","2359","500 sd",1,"Ounces",18.75,18.75,"HIGH MOWING"
"no","2018-01-26",,,"Carrots",,,"Naval","Seed","2342","25Msds",1,"Pounds",35,35,"HIGH MOWING"
"yes","2018-01-26",,,"Carrots",,,"Yaya","Seed","2681G","25Msd",25,"Pounds",1.85,46.25,"JOHNNY'S"
"no","2018-01-26",,,"Cauliflower",,,"Skywalker","Seed","2593G","1000 Sds",1,"Ounces",51.65,51.65,"JOHNNY'S"
"yes","2018-02-01",,,"Celeriac",,,"Mars","Seed","660G","1Msd",1,"Ounces",11.5,11.5,"JOHNNY'S"
"yes","2018-02-01",,,"Chard",,,"Improved Rainbow Blend","Seed","2350A",".25 OZ",1,"Ounces",6.5,6.5,"HIGH MOWING"
"no","2018-02-01",,,"Chard",,,"Oriole","Seed","3122G","OZ",1,"Ounces",6.95,6.95,"JOHNNY'S"
"yes","2018-02-01",,,"Chinese Cabbage",,,"Emiko","Seed","2381A","500sDS",1,"Ounces",10.25,10.25,"HIGH MOWING"
"yes","2018-02-01",,,"Collards",,,"Champion","Seed","2552",".125OZ",1,"Ounces",5,5,"HIGH MOWING"
"yes","2018-02-01",,,"Cucumbers",,,"Corinto","Seed","2562G","100 SDS",1,"Ounces",49.45,49.45,"JOHNNY'S"
"yes","2018-02-01",,,"Eggplants",,,"Black Beauty","Seed","2470A",".16OZ",1,"Ounces",4,4,"HIGH MOWING"
"no","2018-02-01",,,"Eggplants",,,"Michal","Seed","2468A","100 SDS",1,"Ounces",19.55,19.55,"HIGH MOWING"
"yes","2018-02-01",,,"Eggplants",,,"Traviata","Seed","2473A","100 sds",1,"Ounces",19.55,19.55,"HIGH MOWING"
"yes","2018-02-01",,,"Endive",,,"Rhodos","Seed","339g","1Msds",1,"Ounces",10.35,10.35,"JOHNNY'S"
"yes","2018-02-01",,,"Lettuce: Green",,,"Muir","Seed","3881G","1Msd",1,"Ounces",8.45,8.45,"JOHNNY'S"
"yes","2018-02-01",,,"Lettuce: Mes Mix",,,"Annapolis","Seed","2802G","1 OZ",1,"Ounces",27.05,27.05,"JOHNNY'S"
"yes","2018-02-01",,,"Lettuce: Mes Mix",,,"Jericho","Seed","349G","1 OZ",1,"Ounces",19.1,19.1,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Bell",,,"Aura","Seed","3924G","1 PKT",1,"Grams",5.25,5.25,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Bell",,,"Carmen","Seed","2993g","1 pkt",1,"Grams",5.25,5.25,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Bell",,,"Escamillo","Seed","3125G","1 PKT",1,"Grams",5.25,5.25,"JOHNNY'S"
"no","2018-02-01",,,"Peppers: Bell",,,"Glow","Seed","3923G","1 PKT",1,"Grams",5.25,5.25,"JOHNNY'S"
"yes","2018-02-01",,,"Peppers: Hot",,,"Red Ember","Seed","3130G","1 PKT",1,"Grams",4.45,4.45,"JOHNNY'S"
"no","2018-02-01",,,"Radishes ",,,"Pink Beauty","Seed","626G",".25 LB",1,"Pounds",13.85,13.85,"JOHNNY'S"
"yes","2018-02-01",,,"Radishes ",,,"Rudolf","Seed","2873A","5 MSD",1,"Pounds",9.85,9.85,"HIGH MOWING"
"yes","2018-02-01",,,"Radishes ",,,"Watermelon","Seed","2847","1 Msd",1,"Pounds",11.3,11.3,"HIGH MOWING"
"yes","2018-02-02",,,"Squash: Winter",,,"Delicata","Seed","2951A",".5oz",1,"Pounds",7,7,"HIGH MOWING"
"no","2018-02-05",,,"Tomatoes: Slicing",,,"Defiant","Seed","2525g","100 Sds",1,"Grams",30.25,30.25,"JOHNNY'S"
"yes","2018-02-02",,,"Turnips",,,"Purple Top","Seed","705G",".25 LB",1,"Pounds",7.35,7.35,"JOHNNY'S"
