"Done","Date","Log name","Asset IDs","Asset names","Notes","Categories","Quantity measure","Quantity value","Quantity unit","Quantity label","Source/supplier","Movement to"
,"2018-03-09",,,"Chard","Seed Code: CD-18-2-UT (MAGENTA SUNSET) - 128 seeds","Plantings",128,1,"Flats","128/flat",,
,"2018-03-13",,,"Bokchoy","Seed Code: BY-16-1-UT (WIN-WIN) - 120 seeds;Seed Code: BY-18-1-UT (MEI QING) - 17 seeds","Plantings",137,1,"Flats","128/flat",,
,"2018-03-13",,,"Cabbage","Seed Code: CE-15-5-UT (FARAO) - 320 seeds;Seed Code: CE-18-4-OG (FARAO) - 320 seeds;Seed Code: CE-16-2-OG (CAPTURE) - 192 seeds;Seed Code: CE-18-1-OG (IMPALA) - 128 seeds;Seed Code: N/A (No Variety) - 128 seeds","Plantings",1088,8,"Flats","128/flat",,
,"2018-03-13",,,"Chard","Seed Code: CD-18-1-OG (ORIOLE) - 113 seeds;Seed Code: CD-18-2-UT (MAGENTA SUNSET) - 120 seeds","Plantings",233,3,"Flats","128/flat",,
,"2018-03-13",,,"Dandelion","Seed Code: DN-15-1-UT (CLIO) - 25 seeds;Seed Code: DN-18-1-UT (CLIO) - 39 seeds","Plantings",64,1,"Flats","128/flat",,
,"2018-03-13",,,"Celeriac","Seed Code: CC-18-1-OG (MARS) - 480 seeds","Plantings",480,4,"Flats","128/flat",,
,"2018-03-13",,,"Endive","Seed Code: EE-16-2-UT (TRES FINES) - 250 seeds","Plantings",250,2,"Flats","128/flat",,
,"2018-03-13",,,"Parsley","Seed Code: HY-17-6-OG (DCF CURLY) - 40 seeds;Seed Code: HY-17-5-OG (DCF ITALIAN) - 40 seeds","Plantings",80,1,"Flats","128/flat",,
,"2018-03-13",,,"Basil","Seed Code: HL-17-1-OG (AROMA 2) - 128 seeds;Seed Code: HL-17-6-OG (DCF BASIL) - 60 seeds","Plantings",188,1,"Flats","128/flat",,
,"2018-03-13",,,"Lettuce: Red","Seed Code: LD-17-3-OG (DCF RED OAK LEAF) - 128 seeds","Plantings",128,1,"Flats","128/flat",,
,"2018-03-13",,,"Lettuce: Green","Seed Code: LN-16-3-OG (WALDMANN) - 128 seeds","Plantings",128,1,"Flats","128/flat",,
,"2018-03-13",,,"Kohlrabi","Seed Code: KI-16-2-OG (KORRIDOR) - 384 seeds;Seed Code: KI-17-1-UT (KOLIBRI) - 48 seeds","Plantings",432,3,"Flats","128/flat",,
,"2018-03-13",,,"Kale","Seed Code: KE-15-1-OG (DCF) - 80 seeds;Seed Code: KE-17-2-UT (WINTERBOR) - 256 seeds","Plantings",336,3,"Flats","128/flat",,
,"2018-03-13",,,"Peppers: Hot","Seed Code: PT-17-5-OG (DCF MEDIUM RED HOT) - 10 seeds;Seed Code: PT-17-8-OG (DCF JALAPENO) - 10 seeds;Seed Code: PT-17-7-OG (DCF ORANGE HABANERO) - 10 seeds;Seed Code: PT-16-2-OG (DCF HABANERO) - 10 seeds;Seed Code: PT-17-2-OG (HUNGARIAN HOT WAX) - 10 seeds","Plantings",50,1,"Flats","0/flat",,
,"2018-03-13",,,"Peppers: Bell","Seed Code: PL-18-1-UT (BISCAYNE) - 10 seeds;Seed Code: PL-18-3-OG (GLOW) - 10 seeds;Seed Code: PL-18-7-OG (LIPSTICK) - 10 seeds;Seed Code: PL-18-11-OG (ESCAMILLO) - 10 seeds;Seed Code: PL-18-10-UT (CARMEN) - 10 seeds;Seed Code: PL-18-4-UT (FLAVORBURST) - 25 seeds;Seed Code: PL-18-6-UT (GOURMENT) - 30 seeds;Seed Code: PL-17-5-UT (REVOLUTION) - 75 seeds;Seed Code: PL-17-4-OG (PROCRAFT) - 200 seeds;Seed Code: PL-18-2-UT (OLYMPUS) - 100 seeds;Seed Code: PL-18-8-UT (RED KNIGHT) - 100 seeds;Seed Code: PL-18-9-UT (INTRUDER) - 100 seeds","Plantings",680,1,"Flats","0/flat",,
,"2018-03-13",,,"Radicchio","Seed Code: RO-18-1-UT (INDIGO) - 170 seeds","Plantings",170,1,"Flats","128/flat",,
,"2018-03-20",,,"Celeriac","Seed Code: CC-18-2-UT (BRILLIANT) - 500 seeds","Plantings",500,4,"Flats","128/flat",,
,"2018-03-28",,,"Bokchoy","Seed Code: BY-18-1-UT (MEI QING) - 137 seeds","Plantings",137,1.25,"Flats","128/flat",,
,"2018-03-28",,,"Chinese Cabbage","Seed Code: CE-16-2-OG (BILKO) - 59 seeds;Seed Code: CE-16-1-UT (MINUET) - 59 seeds;Seed Code: CE-18-1-OG (EMIKO) - 59 seeds","Plantings",177,2,"Flats","128/flat",,
,"2018-03-28",,,"Endive","Seed Code: EE-15-3-OG (RHODOS) - 250 seeds","Plantings",250,2,"Flats","128/flat",,
,"2018-03-28",,,"Eggplants","Seed Code: ET-18-6-UT (NADIA) - 20 seeds;Seed Code: ET-18-4-UT (GALINE) - 20 seeds;Seed Code: ET-18-3-OG (TRAVIATA) - 20 seeds;Seed Code: ET-18-1-OG (MICHAL) - 20 seeds;Seed Code: ET-18-2-OG (BLACK BEAUTY) - 27 seeds","Plantings",107,1,"Flats","0/flat",,
,"2018-03-28",,,"Parsley","Seed Code: HY-17-4-UT (MOSS CURLED) - 64 seeds;Seed Code: HY-17-3-UT (GIANT OF ITALY) - 64 seeds","Plantings",128,1,"Flats","128/flat",,
,"2018-03-28",,,"Kohlrabi","Seed Code: KI-17-1-UT (KOLIBRI) - 100 seeds;Seed Code: KI-17-2-OG (KORRIDOR) - 100 seeds","Plantings",200,2,"Flats","128/flat",,
,"2018-03-28",,,"Lettuce: Green","Seed Code: LN-16-3-OG (WALDMANN) - 165 seeds","Plantings",165,2,"Flats","128/flat",,
,"2018-03-28",,,"Lettuce: Red","Seed Code: N/A (No Variety) - 145 seeds","Plantings",145,2,"Flats","128/flat",,
,"2018-03-28",,,"Lettuce: Romaine","Seed Code: LE-17-3-OG (GREEN TOWERS) - 170 seeds","Plantings",170,2,"Flats","128/flat",,
,"2018-04-04",,,"Cabbage","Seed Code: CE-18-5-OG (FARAO) - 160 seeds;Seed Code: CE-18-6-UT (TIARA) - 160 seeds","Plantings",320,2,"Flats","128/flat",,
,"2018-04-06",,,"Bokchoy","Seed Code: BY-18-1-UT (MEI QING) - 128 seeds","Plantings",128,1,"Flats","128/flat",,
,"2018-04-06",,,"Tomatoes: Cherry","Seed Code: TY-16-5-OG (ESTERINA) - 25 seeds;Seed Code: TY-18-1-UT (SUN GOLD) - 25 seeds;Seed Code: TY-18-2-OG (VALENTINE) - 25 seeds;Seed Code: TY-16-4-OG (INDIGO) - 25 seeds","Plantings",100,1,"Flats","0/flat",,
,"2018-04-06",,,"Tomatoes: Paste","Seed Code: TE-15-4-UT (PLUM REGAL) - 25 seeds;Seed Code: TE-16-1-OG (DCF RED SQUAT ROMA) - 25 seeds;Seed Code: TE-15-2-OG (DCF STRIPED ROMA) - 25 seeds;Seed Code: TE-17-1-OG (DCF LONG RED ROMA) - 25 seeds","Plantings",100,1,"Flats","0/flat",,
,"2018-04-06",,,"Tomatoes: Heirloom","Seed Code: TM-17-4-OG (DCF RED PUMPKIN Tomatoes) - 25 seeds;Seed Code: TM-17-3-OG (DCF PINK BRANDYWINE) - 25 seeds;Seed Code: TM-16-3-OG (DCF CHEROKEE) - 25 seeds;Seed Code: TM-16-1-OG (DCF GREEN ZEBRA) - 25 seeds;Seed Code: TM-17-2-OG (DCF PURPLE BRANDYWINE) - 25 seeds","Plantings",125,1,"Flats","0/flat",,
,"2018-04-07",,,"Radicchio","Seed Code: RO-18-1-UT (INDIGO) - 170 seeds","Plantings",170,1.2,"Flats","128/flat",,
