"Done","Date","Log name","Asset IDs","Asset Names","Archive assets","Notes","Categories","Quantity measure","Quantity value","Quantity unit","Quantity label","Movement to"
,"2018-03-13",,,"Peppers: Hot",,"Bed 3: (from south);
DCF Habanero 2ft 6in, Hung hot 5ft 3in, DCF red hot big 16ft 0in, DCF jalapeño 12ft 10in;
;
Bed 4:;
Biscane 15ft 1in, Lipstick 10ft 2in, Unmarked tomatoes 10ft 8in","Plantings","2 Row ft","1","Bed ft","2 rows/bed","RSCH"
,"2018-03-13",,,"Celeriac",,"Bed 1 (from north):;
Mars or Brilliant 37ft;
;
Bed 2: ;
Mars or Brilliant 39ft;
","Plantings","1 Row ft","1","Bed ft","1 rows/bed","RSCH"
,"2018-03-13",,,"Peppers: Bell",,"Unsure exact date of transplant. ;
;
Bed 5 from east:;
Red round up 10ft 1in;
Glow 10ft 8in ;
Carmen 3ft 5in ;
Aura 28ft 10in;
Flavor burst 27ft 0in ;
Gourment 16ft 3in;
Escamillo 32ft 7in ;
;
Bed 6 from east:;
Procraft 58ft 1in ;
Revolution 81ft 0in ;
Intruder 36ft 0in ","Plantings","300 Row ft","300","Bed ft","1 rows/bed","N"
,"2018-03-13",,,"Peppers: Bell",,"Used seedlings from 2018-03-13, 2018-04-07, 2018-04-18, 2018-04-20. ;
Section 1 (start at blue flag): Olympus 14ft 10in, X3r 16ft 4in, X3r or Procraft 30ft 1in, X3r 58ft 5in (missing 3 plants at end because we ran out). ;
Section 2 (blue flag): Olympus 15ft 10in, X3r 16ft 1in, Olympus 81ft 1in.;
Section 3 (blue flag): Olympus 14ft 9in, X3r 16ft 1in, Procraft 42ft 7in, Olympus 11ft 6in, Unknown variety 22ft 1in, last 13 feet of row empty.","Plantings","360 Row ft","360","Bed ft","1 rows/bed","N"
,"2018-03-13",,,"Peppers: Bell",,"Bed 1: Peppers;
Tray seeding from 2018-03-13, 2018-04-07, 2018-04-18, 2018-04-20.;
Section 1 (start at blue flag): Olympus 14ft 10in, X3r 16ft 4in, X3r or Procraft 30ft 1in, X3r 58ft 5in (missing 3 plants at end but because ran out).;
Section 2 (blue flag): Olympus 15ft 10in, X3r 16ft 1in, Olympus 81ft 1in.;
Section 3 (blue flag): Olympus 14ft 9in, X3r 16ft 1in, Procraft 42ft 7in, Olympus 11ft 6in, Unknown variety 22ft 1in, empty for the last 13 feet of row","Plantings","360 Row ft","360","Bed ft","1 rows/bed","SQ 6"
,"2018-03-28",,,"Eggplants",,"Bed 1: (from south);
Michal 8ft 6in, Traviata 15ft 10in, Galine 12ft 3in;
;
Bed 2:;
Nadia 14ft 0in, Traviata 21ft 7in, Galine (Unmarked so unsure) 5ft 5in;
;
Bed 3: half Eggplants half hot peppers;
Traviata 2ft 10in, Galine 31ft 9in","Plantings","2 Row ft","1","Bed ft","2 rows/bed","RSCH"
,"2018-04-06",,,"Tomatoes: Cherry",,"Date of tray seeding also 2018-04-26. Unsure exact transplant date.;
;
Bed 1 from east:;
DCF Pink Bumble bee 18ft 1in ;
;
Bed 2 from east:;
DCF Pink Bumble bee 14ft 4in;
;
Bed 3 from east:;
Esterina 34ft 9in ;
Toronjina 39ft 8in ;
Black Vernissage 11ft 5in ;
Valentine and Sun gold (mixed together) 53ft 3in ;
;
Bed 4 from east:;
Valentine & Sun gold (mixed together) 72ft 6in ;
","Plantings","240 Row ft","240","Bed ft","1 rows/bed","N"
,"2018-04-06",,,"Tomatoes: Paste",,"Unsure of exact date of transplant.;;Bed 2 from east:;DCF SQ uat Roma 30ft 0in ;;Bed 3 from east:;DCF SQ uat Roma 21ft 3in;Plum Regal 7ft 8in","Plantings","60 Row ft","60","Bed ft","1 rows/bed","N"
,"2018-04-06",,,"Tomatoes: Heirloom",,"Unsure exact date of transplant.;
;
Bed 2 from east:;
Cherokee 68ft 7in ","Plantings","68 Row ft","68","Bed ft","1 rows/bed","N"
,"2018-04-18",,,"Tomatoes: Slicing",,"Bed 1 from east:;
Mountain Merit 150ft 9in ;
;
Bed 2 from east:;
Be my Baby 54ft 4in;
;
Bed 4 from east:;
Jaune 98ft 4in ;
;
Bed 5 from east:;
Mountain Merit 37ft 3in ;
;
Unsure exact date of transplant. Seeding date also 2018-04-20. ","Plantings","340 Row ft","340","Bed ft","1 rows/bed","N"
,"2018-04-18",,,"Tomatoes: Slicing",,"Bed 2: ;
dates of tray seeding: 2018-04-18 and 2018-04-20.;
Section 1 (start at blue flag): Defiant 20ft 10in, Estiva 22ft 8in, Mt. Merit 21ft 2in,  BHNSBA 52ft 8in. ;
Section 2 (blue flag): Defiant 20ft 0in, Estiva 21ft 7in, Mt. Merit 21ft 9in, BHNSBA 48ft 4in.;
Section 3: Defiant 20ft 8in, Estiva 20ft 10in, Mt. Merit 79ft 3in (1 plant looks dead but not one of the first 10 plants)","Plantings","360 Row ft","360","Bed ft","1 rows/bed","SQ 6"
,"2018-05-08",,,"Okra",,"Bed 4: from south ;
Okra 39ft 2in","Plantings","1 Row ft","1","Bed ft","1 rows/bed","RSCH"
,"2018-05-08",,,"Parsley",,"Bed 5 (from south):;
DCF Italian and Giant of Italy 38ft 11in","Plantings","3 Row ft","1","Bed ft","3 rows/bed","RSCH"
,"2018-05-08",,,"Watermelons",,"Bed 5:;
Baby Flower 41ft 0in, Dark Belle 29ft 6in, Sugar Baby 157ft 2in","Plantings","319 Row ft","319","Bed ft","1 rows/bed","SQ 9"
,"2018-05-08",,,"Watermelons",,"Bed 6: Sugar Baby 318ft 2in","Plantings","319 Row ft","319","Bed ft","1 rows/bed","SQ 9"
,"2018-05-08",,,"Basil",,"Bed 1 (West to east):;
DCF Basil (2018-05-08) 3ft and Aroma (2018-05-08 and 2018-05-17) 33ft 9in","Plantings","36 Row ft","36","Bed ft","1 rows/bed","P"
,"2018-05-08",,,"Lettuce: Green",,"Bed 2 (West to east): Waldmann 20ft 6in","Plantings","20 Row ft","20","Bed ft","1 rows/bed","P"
,"2018-05-10",,,"Cucumbers",,"Bed 2: Cobra 44ft 9in","Plantings","319 Row ft","319","Bed ft","1 rows/bed","SQ 9"
,"2018-05-10",,,"Cucumbers",,"Bed 4: ;
Tray seeding 2018-05-10. Cobra 74ft 1in, General Lee 70ft 11in, Dasher 174ft 9in","Plantings","319 Row ft","319","Bed ft","1 rows/bed","SQ 9"
,"2018-05-10",,,"Cucumbers",,"Beds numbered from East to West. ;
Bed 1: mkt more (2018-05-28) 99ft 3in, Gen Lee (2018-05-28) 65ft 8in. ;
Bed 2: SV4719CS (2018-05-10) 55ft 3in, SV4719CS (2018-05-28)112ft 10in.;
Bed 3:;
Corinto (2018-05-10) 100ft 4in, Cobra (2018-05-28) 67ft 5in.;
Bed 4:;
Dasher (2018-05-28) 134ft 2in, Cobra (2018-05-28) 31ft 0in","Plantings","1 Row ft","1","Bed ft","1 rows/bed","O"
,"2018-05-17",,,"Endive",,"Bed 3 (West to east):;
Rhodes (2018-05-17 and 2018-05-29) 93ft 4in","Plantings","93 Row ft","93","Bed ft","1 rows/bed","P"
,"2018-05-28",,,"Lettuce: Romaine",,"Bed 2 (West to east) Verico/Salvius 44ft 3in","Plantings","44 Row ft","44","Bed ft","1 rows/bed","P"
,"2018-05-28",,,"Lettuce: Green",,"Bed 3 (West to east): waldmann 30ft and concept (2018-05-28 and 2018-05-29) 30ft","Plantings","60 Row ft","60","Bed ft","1 rows/bed","P"
,"2018-05-28",,,"Cantaloupes",,"Bed 7 (from south to north): ;Sarah’s Choice, 3ft 10in","Plantings","3 Row ft","3","Bed ft","1 rows/bed","SQ 9"
,"2018-05-28",,,"Cantaloupes",,"Bed 7 (from south to north):;
Sarah’s choice 3ft 10in","Plantings","3 Row ft","3","Bed ft","1 rows/bed","SQ 9"
,"2018-05-28",,,"Squash: Summer",,"Planted North to South - Slick pic 127ft 5in","Plantings","127 Row ft","127","Bed ft","1 rows/bed","U"
,"2018-05-28",,,"Zucchini",,"Bed 1: Planted north to south - Raven 179ft 7in","Plantings","179 Row ft","179","Bed ft","1 rows/bed","U"
,"2018-05-28",,,"Squash: Summer",,"Bed 1: Planted north to south - Slick Pic 127ft 5in","Plantings","127 Row ft","127","Bed ft","1 rows/bed","U"
,"2018-05-28",,,"Squash: Winter",,"Bed 2: planted south to north - tip top 128ft 7in","Plantings","128 Row ft","128","Bed ft","1 rows/bed","U"
,"2018-05-28",,,"Squash - Butternut",,"Bed 3: planted north to south - Metro 278ft 8in","Plantings","278 Row ft","278","Bed ft","1 rows/bed","U"
,"2018-05-28",,,"Cucumbers",,"Bed 4: planted south to north - Gen Lee 21ft 11in","Plantings","21 Row ft","21","Bed ft","1 rows/bed","U"
,"2018-05-28",,,"Cucumbers",,"Bed 4: planted south to north - Dasher 36ft 3 in","Plantings","36 Row ft","36","Bed ft","1 rows/bed","U"
,"2018-05-28",,,"Squash: Winter",,"bed 4: planted south to north - DCF Kubocha 20ft 6in","Plantings","20 Row ft","20","Bed ft","1 rows/bed","U"
,"2018-05-28",,,"Squash: Winter",,"Bed 4: planted south to north - DCF Pumpkin 37ft 3in","Plantings","37 Row ft","37","Bed ft","1 rows/bed","U"
,"2018-05-28",,,"Squash: Summer",,"North to south - 127ft 5in","Plantings","127 Row ft","127","Bed ft","1 rows/bed","U"
,"2018-05-28",,,"Brussel Sprouts",,"Bed 4 (from south):;
Diablo 313ft 5in","Plantings","2 Row ft","1","Bed ft","2 rows/bed","SQ 10"
,"2018-05-29",,,"Radicchio",,"Bed 1 (West to east): Indigo 126ft 6in","Plantings","126 Row ft","126","Bed ft","1 rows/bed","P"
,"2018-05-29",,,"Lettuce: Red",,"Bed 3 (West to east): cherokee 10ft 10in","Plantings","11 Row ft","11","Bed ft","1 rows/bed","P"
,"2018-05-29",,,"Cantaloupes",,"Bed 7:;
Athena 284ft 2in","Plantings","284 Row ft","284","Bed ft","1 rows/bed","SQ 9"
,"2018-05-29",,,"Cantaloupes",,"Bed 8 (south to north):;Halona 36ft 4in","Plantings","36 Row ft","36","Bed ft","1 rows/bed","SQ 9"
,"2018-05-29",,,"Cantaloupes",,"Bed 8 (south to north):;
Halona 36ft 4in","Plantings","36 Row ft","36","Bed ft","1 rows/bed","SQ 9"
,"2018-05-29",,,"Cantaloupes",,"Bed 8 (south to north):;
Dicergent 131ft 4in","Plantings","1 Row ft","1","Bed ft","1 rows/bed","SQ 9"
,"2018-05-29",,,"Cantaloupes",,"Bed 8 (south to north):;
Sarah’s choice 123ft 2in","Plantings","123 Row ft","123","Bed ft","1 rows/bed","SQ 9"
,"2018-05-29",,,"Cantaloupes",,"Bed 1 (from North):;
Arava (2018-05-29) 167ft 7in, PMR (2018-05-07) 88ft 8in","Plantings","1 Row ft","1","Bed ft","1 rows/bed","SQ 9"
,"2018-05-29",,,"Scallions",,"Bed 1 from West - white spear 24ft 10in","Plantings","75 Row ft","25","Bed ft","3 rows/bed","P"
,"2018-05-29",,,"Scallions",,"Bed 5 from West - white spear 49ft 3in","Plantings","147 Row ft","49","Bed ft","3 rows/bed","P"
